1,1,1,1,1,0.5,1
2,2,1.66667,1.66667,2,1.5,2
3,4,2.42857,2.71429,4,5.25,4.754887502
4,8,3.26667,3.73333,8,22.5,8
5,16,4.16129,6.3871,16,116.25,11.60964047
6,32,5.09524,7.66667,32,708.75,15.509775
7,64,6.05512,7.59055,64,5000.625,19.65148445
8,128,7.03137,9.06667,128,40162.5,24
9,256,8.01761,10.3033,256,362171.25,28.52932501
10,512,9.00978,12.2463,512,3625256.25,33.21928095
11,1024,10.0054,13.3972,1024,39897309.38,38.05374781
12,2048,11.0029,14.0237,2048,478884656.3,43.01955001
